trial,family,label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
1,baseline,barrier,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,10,4,256,dataflow-radix4,"","","","","","","","","","","",0,0,5,50,0.794368,0.089457,0.089601,0.000144,0.751008,11178.599092,611.683404,11721610721.253223,fused,shoup,natural,-1
1,v06,resident1010,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,5,50,0.793312,0.147436,0.147658,0.000223,0.732832,6782.626238,597.521644,7112099089.839634,fused,shoup,natural,-1
1,appt-online,online-w6-6-8-td4-ti2-cta3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online+appt-online+appt-online","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,50,0.794848,0.295096,0.295270,0.000173,0.736512,3388.724199,547.508297,3553334865.935034,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,50,0.784576,0.400978,0.401143,0.000165,0.735072,2493.902786,520.663588,2615046607.438192,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,50,0.780384,0.384205,0.384377,0.000172,0.715168,2602.778687,531.983718,2729211264.333618,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","8+8+8","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,50,0.790560,0.434975,0.435186,0.000211,0.730496,2298.984285,511.239421,2410659745.239864,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","8+8+8","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,50,0.795264,0.409129,0.409312,0.000183,0.725344,2444.217076,518.205338,2562947364.770482,fused,shoup,natural,-1
1,baseline,barrier,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,10,4,256,dataflow-radix4,"","","","","","","","","","","",0,0,5,50,2.837280,0.271360,0.271492,0.000132,2.607104,14740.565499,699.821392,15456603209.188990,fused,shoup,natural,-1
1,v06,resident1010,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,5,50,2.831520,0.350351,0.350596,0.000245,2.609184,11417.109844,690.720374,11971707371.282751,fused,shoup,natural,-1
1,appt-online,online-w7-7-6-td8-ti2-cta3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online+appt-online+appt-online","256+256+256","8+8+8","16+16+16","8+8+8","2+2+2","2+2+2","7+7+6","ring+ring","2+2",8,0,5,50,2.837024,0.890450,0.890665,0.000215,2.607808,4492.111328,631.384683,4710320127.935569,fused,shoup,natural,-1
