trial,variant,scan_threads,scan_units,scan_resident,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,v06,256,4,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.906048,1.065472,1.066530,0.001058,0,0,0,0,0,7,natural,natural,"",10.134016,15016.818741,723.800594,15746275728.465992,fused,shoup,-1
1,warp1024,256,8,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp-radix2-10x10","experimental",0.000000,"eight dependency-closed warp-register subgraphs per persistent CTA role",hierarchical-dataflow,0,named-barrier,0,0,0,1,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp-radix2+homogeneous-warp-radix2","256+256","8+8","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.913344,4.550144,4.551169,0.001025,0,0,0,0,0,7,natural,natural,"",10.186976,3516.372446,623.770380,3687183754.433476,fused,shoup,-1
1,warp256,128,4,3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-radix2-10x10","experimental",0.000000,"two independent four-warp subgraphs with an eight-stage register prefix",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-radix2+homogeneous-warp256-radix2","128+128","4+4","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.901088,4.373709,4.374780,0.001072,0,0,0,0,0,7,natural,natural,"",10.134784,3658.222576,629.683759,3835924396.198480,fused,shoup,-1
1,warp256,256,8,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-radix2-10x10","experimental",0.000000,"two independent four-warp subgraphs with an eight-stage register prefix",hierarchical-dataflow,0,named-barrier,0,0,0,1,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-radix2+homogeneous-warp256-radix2","256+256","8+8","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.902432,3.201434,3.202419,0.000986,0,0,0,0,0,7,natural,natural,"",10.131840,4997.760912,660.182959,5240532145.631752,fused,shoup,-1
1,warp256_static,128,4,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-radix2-10x10","experimental",0.000000,"warp256 subgraphs with XOR-swizzled full-sector boundary and final writers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-radix2+homogeneous-warp256-static-radix2","128+128","4+4","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.912224,2.244403,2.245510,0.001107,0,0,0,0,0,7,natural,natural,"",10.149120,7128.843357,686.525931,7475134052.107406,fused,shoup,-1
1,warp256_static,256,8,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-radix2-10x10","experimental",0.000000,"warp256 subgraphs with XOR-swizzled full-sector boundary and final writers",hierarchical-dataflow,0,named-barrier,0,0,0,1,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-radix2+homogeneous-warp256-static-radix2","256+256","8+8","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.902624,2.494976,2.495987,0.001011,0,0,0,0,0,7,natural,natural,"",10.134016,6412.887226,679.936297,6724399635.962773,fused,shoup,-1
1,warp256_static_io,128,4,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-io-radix2-10x10","experimental",0.000000,"warp256 subgraphs with coalesced row-packet input and XOR-swizzled full-sector writers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-io-radix2+homogeneous-warp256-static-io-radix2","128+128","4+4","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.910144,1.810227,1.811101,0.000874,0,0,0,0,0,7,natural,natural,"",10.131392,8838.669749,700.164811,9268016970.857710,fused,shoup,-1
1,warp256_static_io,256,8,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-io-radix2-10x10","experimental",0.000000,"warp256 subgraphs with coalesced row-packet input and XOR-swizzled full-sector writers",hierarchical-dataflow,0,named-barrier,0,0,0,1,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-io-radix2+homogeneous-warp256-static-io-radix2","256+256","8+8","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.902976,1.806541,1.807584,0.001043,0,0,0,0,0,7,natural,natural,"",10.125824,8856.705359,700.668324,9286928678.911018,fused,shoup,-1
1,warp256_static_half,128,4,3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-radix2-10x10","experimental",0.000000,"warp256 subgraphs with XOR-swizzled full-sector boundary and final writers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-radix2+homogeneous-warp256-static-radix2","128+128","4+4","4+4","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.903968,2.131968,2.133008,0.001040,0,0,0,0,0,7,natural,natural,"",10.142432,7504.802999,690.298814,7869356309.124837,fused,shoup,-1
1,warp256_static_half,256,8,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp256-static-radix2-10x10","experimental",0.000000,"warp256 subgraphs with XOR-swizzled full-sector boundary and final writers",hierarchical-dataflow,0,named-barrier,0,0,0,1,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp256-static-radix2+homogeneous-warp256-static-radix2","256+256","8+8","4+4","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,10.903360,2.387968,2.388966,0.000998,0,0,0,0,0,7,natural,natural,"",10.131360,6700.257112,683.098356,7025728801.595550,fused,shoup,-1
