trial,family,label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
1,baseline,barrier,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,10,4,256,dataflow-radix4,"","","","","","","","","","","",0,0,5,30,0.777248,0.088883,0.739520,11250.720198,622.800255,11797235182.619247,fused,shoup,natural,-1
1,v06,resident1010,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,5,30,0.780256,0.147422,0.744672,6783.254226,597.961010,7112757583.319805,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep1-td4-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","4+4+4","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,30,0.786880,0.630477,0.738016,1586.101104,463.956849,1663147551.394327,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep1-td4-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","4+4+4","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,30,0.781280,0.582622,0.740640,1716.379091,475.162804,1799753922.102948,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,30,0.783808,0.399428,0.732864,2503.578376,521.893349,2625192198.972303,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,30,0.781792,0.380894,0.741600,2625.403333,525.131254,2752934925.812772,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep1-td8-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","8+8+8","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,30,0.779456,0.635529,0.738400,1573.493397,464.385236,1649927412.629052,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep1-td8-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","8+8+8","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,30,0.777888,0.587810,0.734368,1701.229530,476.175469,1783868455.533858,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","8+8+8","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,5,30,0.780064,0.427486,0.733952,2339.258533,515.065179,2452890355.261828,fused,shoup,natural,-1
1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","8+8+8","2+2+2","2+2+2","6+6+8","ring+ring","2+2",8,0,5,30,0.785696,0.409941,0.743488,2439.373544,515.696417,2557868553.295198,fused,shoup,natural,-1
