label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
v06_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,10.893536,1.460367,1.460546,0.000179,0,0,0,0,0,7,natural,natural,"",10.120512,10956.146754,711.920642,11488352538.504951,fused,shoup,-1
aggregate_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","full-scratch","1",8,0,10,50,10.867936,1.081549,1.081804,0.000255,0,0,0,0,0,7,natural,natural,"",18.453407,14793.599560,526.265721,15512213452.409533,fused,shoup,-1
online_b16_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",8,0,10,50,10.867136,1.129574,1.129725,0.000151,0,0,0,0,0,7,natural,natural,"",10.106208,14164.626734,723.886313,14852687642.038139,fused,shoup,-1
online_b16_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",8,0,10,50,10.868288,1.129964,1.130136,0.000172,0,0,0,0,0,7,natural,natural,"",10.107904,14159.749192,723.780290,14847573169.208281,fused,shoup,-1
v06_b16_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,10.867232,1.432494,1.432648,0.000154,0,0,0,0,0,7,natural,natural,"",10.106400,11169.330905,714.090426,11711892322.842236,fused,shoup,-1
aggregate_b16_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","full-scratch","1",8,0,10,50,10.868576,1.082327,1.082461,0.000134,0,0,0,0,0,7,natural,natural,"",10.108096,14782.962892,725.327558,15501060097.509289,fused,shoup,-1
aggregate_b16_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","full-scratch","1",8,0,10,50,10.868608,1.081139,1.081275,0.000135,0,0,0,0,0,7,natural,natural,"",10.107776,14799.204301,725.376087,15518090448.610044,fused,shoup,-1
online_b16_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","7+13","full-scratch","1",8,0,10,50,10.875872,1.136722,1.136898,0.000176,0,0,0,0,0,7,natural,natural,"",10.111968,14075.561519,723.178169,14759295995.583670,fused,shoup,-1
v06_b16_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,10.869760,1.518469,1.518606,0.000137,0,0,0,0,0,7,natural,natural,"",10.110528,10536.928312,711.150409,11048770141.388784,fused,shoup,-1
v06_b32_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,39.882336,4.127007,4.127150,0.000143,0,0,0,0,0,7,natural,natural,"",20.137280,7753.803166,498.857132,8130451908.178905,fused,shoup,-1
