label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
m8_g4_p2-2-2-2-3-3-3-3_e2-2-7-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3",8,"2+2+7+9",4,3,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.795264,10.746675,10.748121,0.001446,0,0,0,0,0,7,natural,natural,"",0.751072,93.052033,81.347032,97572128.314999,fused,shoup,-1
m8_g5_p2-2-2-2-3-3-3-3_e2-2-2-5-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g5","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3",8,"2+2+2+5+9",5,4,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.792096,13.770343,13.771772,0.001429,0,0,0,0,0,7,natural,natural,"",0.728064,72.619833,65.400073,76147414.279037,fused,shoup,-1
m8_g6_p2-2-2-2-3-3-3-3_e2-2-2-2-3-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g6","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3",8,"2+2+2+2+3+9",6,5,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.785408,11.727667,11.729051,0.001384,0,0,0,0,0,7,natural,natural,"",0.743104,85.268452,75.436520,89410452.477648,fused,shoup,-1
m8_g7_p2-2-2-2-3-3-3-3_e2-2-2-2-3-3-6_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g7","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3",8,"2+2+2+2+3+3+6",7,6,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.791584,11.116339,11.117720,0.001381,0,0,0,0,0,7,natural,natural,"",0.755136,89.957676,78.969862,94327460.280023,fused,shoup,-1
m8_g8_p2-2-2-2-3-3-3-3_e2-2-2-2-3-3-3-3_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3",8,"2+2+2+2+3+3+3+3",8,7,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.778048,10.953524,10.954809,0.001286,0,0,0,0,0,7,natural,natural,"",0.727712,91.294823,80.261437,95729560.172466,fused,shoup,-1
m8_g2_p2-2-3-3-2-2-3-3_e10-10_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+2+2+3+3",8,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+3+3+2+2+3+3","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.789440,0.370278,0.371991,0.001712,0,0,0,0,0,7,natural,natural,"",0.739264,2700.670499,526.597823,2831858268.926785,fused,shoup,-1
m8_g8_p2-2-3-3-2-2-3-3_e2-2-3-3-2-2-3-3_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+2+2+3+3",8,"2+2+3+3+2+2+3+3",8,7,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+3+3+2+2+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.781024,10.517709,10.519187,0.001478,0,0,0,0,0,7,natural,natural,"",0.741472,95.077742,83.055066,99696238.229689,fused,shoup,-1
m7_g2_p2-2-3-3-3-3-4_e10-10_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+3+3+4",7,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+2+3+3+3+3+4","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.783840,0.370483,0.372108,0.001625,0,0,0,0,0,7,natural,natural,"",0.735488,2699.177580,529.153383,2830292829.633200,fused,shoup,-1
m7_g7_p2-2-3-3-3-3-4_e2-2-3-3-3-3-4_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+3+3+4",7,"2+2+3+3+3+3+4",7,6,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+2+3+3+3+3+4","radix4+radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.791616,10.064896,10.066190,0.001295,0,0,0,0,0,7,natural,natural,"",0.750208,99.355228,86.156987,104181507.544575,fused,shoup,-1
m7_g3_p2-3-3-3-3-3-3_e2-9-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g3","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3",7,"2+9+9",3,2,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","radix4+radix4+radix4","full-scratch+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.792992,5.198438,5.199964,0.001526,0,0,0,0,0,7,natural,natural,"",0.737664,192.365470,148.608413,201709814.794190,fused,shoup,-1
m7_g4_p2-3-3-3-3-3-3_e2-3-6-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3",7,"2+3+6+9",4,3,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.797408,6.658458,6.660518,0.002060,0,0,0,0,0,7,natural,natural,"",0.743936,150.184928,121.954168,157480311.270043,fused,shoup,-1
