trial,label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
1,barrier-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,0.931392,0.089395,0.769888,11186.283527,558.448569,11729668435.954735,fused,shoup,natural,-1
1,resident1010-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,1.067360,0.148316,0.800096,6742.353639,496.087807,7069870209.018912,fused,shoup,natural,-1
1,generic776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,0.893376,0.433377,0.780384,2307.458371,474.577531,2419545468.656270,fused,shoup,natural,-1
1,resident776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,0.920416,0.458691,0.797536,2180.119018,459.423157,2286020479.550618,fused,shoup,natural,-1
1,barrier-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,3.636864,0.271708,2.751328,14721.677813,600.609610,15436798034.107002,fused,shoup,natural,-1
1,resident1010-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,3.042496,0.350618,2.672064,11408.440825,659.502532,11962617246.649023,fused,shoup,natural,-1
1,generic776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,3.196192,1.503498,2.683648,2660.462120,541.760356,2789696728.256648,fused,shoup,natural,-1
1,resident776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,3.287328,2.627093,2.875776,1522.595740,455.052390,1596557350.208938,fused,shoup,natural,-1
1,barrier-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,5.717536,0.501760,5.221632,15943.877362,699.243978,16718367148.657137,fused,shoup,natural,-1
1,resident1010-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,6.909216,0.546652,5.242048,14634.535275,630.024651,15345422460.273413,fused,shoup,natural,-1
